year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1977-01,23.5460396039604,25.2,266.5243956960745,-21.8,70.4,0.028858267716535435,0.0,0.012362032447980786,0.0,1.57
1977-02,35.00252454417952,35.6,196.87075204469156,-11.2,72.5,0.033288490284005975,0.0,0.06184126545116048,0.0,3.58
1977-03,42.653887884267625,42.0,168.06991692218983,2.6,74.3,0.027201565557729943,0.0,0.026320976938720684,0.0,1.81
1977-04,52.75970149253731,54.9,180.80347300044622,1.3,77.8,0.03985815602836879,0.0,0.1387349709635561,0.0,6.46
1977-05,60.50283159463488,61.8,144.6343054029406,29.8,86.3,0.02754746835443038,0.0,0.028162438313707346,0.0,2.83
1977-06,66.29315707620529,71.0,280.2788939114258,6.8,94.5,0.025123239436619718,0.0,0.014859949511886131,0.0,1.46
1977-07,72.26816,74.5,133.3548980512819,25.9,95.5,0.019372822299651565,0.0,0.013150391301968356,0.0,1.38
1977-08,68.57290322580644,67.2,155.2427585342943,22.6,90.5,0.018866396761133605,0.0,0.01182635199631348,0.0,1.42
1977-09,60.27236842105263,57.4,126.86068687688396,26.1,89.0,0.005892857142857142,0.0,0.0013740483319076135,0.0,0.31
1977-10,51.01077586206897,48.650000000000006,93.06468857292121,34.9,87.5,0.000335195530726257,0.0,9.999372293013617e-06,0.0,0.04
1977-11,42.20163043478261,43.3,187.5169918626752,-5.4,73.7,0.012962962962962963,0.0,0.005043394140409073,0.0,0.67
1977-12,31.792473118279567,32.7,132.3528775128565,1.4,60.0,0.006721311475409836,0.0,0.0009157377049180328,0.0,0.2
1978-01,38.084653465346534,38.849999999999994,227.88309664548544,-9.3,69.8,0.06252688172043011,0.0,0.05947412089508867,0.0,1.85
1978-02,38.72195121951219,40.4,194.34681970349115,-7.6,63.1,0.04617801047120419,0.0,0.02863952604023148,0.0,1.14
1978-03,48.98715083798883,50.5,191.5309013872325,1.9,74.7,0.028045977011494253,0.0,0.017655119261178652,0.0,1.06
1978-04,60.55227272727272,61.95,100.13075815405952,38.5,78.7,0.02767441860465116,0.0,0.03738048691860463,0.0,1.77
1978-05,64.6736,67.0,99.35421677419357,40.1,81.4,0.035083333333333334,0.0,0.02448234593837534,0.0,1.22
1978-06,76.07010309278351,76.9,58.871909364261086,56.5,89.8,0.050322580645161284,0.0,0.03390098176718094,0.0,1.06
1978-07,80.95393258426967,81.0,20.313194586312548,69.5,93.3,0.06139240506329115,0.0,0.044263420967218435,0.0,1.1
1978-08,78.7126984126984,79.7,14.509513568868384,69.0,85.1,0.1063157894736842,0.0,0.058048684210526315,0.0,1.1
1978-09,70.475,72.05000000000001,42.104516129032305,55.0,83.4,0.011935483870967743,0.0,0.002016129032258064,0.0,0.24
1978-10,62.3735294117647,64.19999999999999,60.13897504456339,44.9,71.5,0.03529411764705882,0.0,0.01814081996434938,0.0,0.75
1978-11,52.07419354838709,53.0,36.735978494623666,38.9,66.4,0.3306896551724138,0.0,1.2021280788177335,0.0,5.12
1978-12,40.193548387096776,41.1,67.03862365591395,19.4,55.0,0.012068965517241381,0.0,0.0012598522167487688,0.0,0.17
1979-01,35.9551724137931,37.3,121.82273456295111,5.3,58.7,0.0,0.0,0.0,0.0,0.0
1979-02,36.08205128205128,42.400000000000006,208.47369963369962,1.7,50.3,0.0,0.0,0.0,0.0,0.0
1979-03,45.38493150684931,47.6,53.90768645357687,19.7,54.6,0.0,0.0,0.0,0.0,0.0
